PID,Process Name,CPU Usage,GPU Usage,Memory Usage,IO_Usage,Timestamp
7156,LiDAR360.exe,7.5,0.0,7.434620861159577,"pio(read_count=595960, write_count=705, read_bytes=2240120213, write_bytes=1981918, other_count=425470, other_bytes=5194388)",1646724469.1618948
13224,LiDAR360.exe,8.916666666666666,1.0,7.433916550395702,"pio(read_count=597831, write_count=1129, read_bytes=2242651488, write_bytes=3703817, other_count=438311, other_bytes=5345620)",1646724473.2247736
14668,LiDAR360.exe,8.791666666666666,10.0,7.113526777656492,"pio(read_count=681792, write_count=928, read_bytes=2592181301, write_bytes=2888379, other_count=424195, other_bytes=5206456)",1646724477.305406
14936,LiDAR360.exe,8.858333333333333,1.0,7.429487748812699,"pio(read_count=596730, write_count=963, read_bytes=2241427143, write_bytes=3026601, other_count=430130, other_bytes=5250604)",1646724481.3699565
7156,LiDAR360.exe,8.783333333333333,4.0,6.322347040414546,"pio(read_count=597026, write_count=705, read_bytes=2240633227, write_bytes=1981918, other_count=435314, other_bytes=5313088)",1646724485.4577935
13224,LiDAR360.exe,7.95,2.0,6.32111748094541,"pio(read_count=598799, write_count=1129, read_bytes=2243121100, write_bytes=3703817, other_count=447375, other_bytes=5455796)",1646724489.5356014
14668,LiDAR360.exe,7.3,1.0,7.109491912602435,"pio(read_count=682866, write_count=928, read_bytes=2592698752, write_bytes=2888379, other_count=434082, other_bytes=5325324)",1646724493.6208582
14936,LiDAR360.exe,8.4,1.0,7.4295116237538465,"pio(read_count=597772, write_count=963, read_bytes=2241931938, write_bytes=3026601, other_count=439853, other_bytes=5368528)",1646724497.742504
7156,LiDAR360.exe,8.333333333333334,1.0,6.322394790296842,"pio(read_count=598082, write_count=705, read_bytes=2241145531, write_bytes=1981918, other_count=445202, other_bytes=5433280)",1646724501.8712325
13224,LiDAR360.exe,7.291666666666667,1.0,6.321284605533448,"pio(read_count=600065, write_count=1129, read_bytes=2243730263, write_bytes=3703817, other_count=458992, other_bytes=5595168)",1646724505.9465258
